author,korean_name,matched_user,similarity,affiliations
A Ram Hong,홍아람,홍아람,1,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, South Korea', 'Division of Endocrinology and Metabolism, Department of Internal Medicine, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 160 Baekseo-ro, Dong-gu, Gwangju 61469, South Korea']"
Ae Kyong Lee,이애경,이애경,1,"['Department of Nursing, Chonnam National University Hospital, Gwangju, South Korea']"
BORA HAN,한보라,한보라,1,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Bin Na Lee,이빈나,이빈나,1,"['Department of Operative Dentistry, Dental Science Research Institute, School of Dentistry, Chonnam National University, Gwangju, Republic of Korea']"
Bin-Na Lee,이빛나,이빛나,1,"['Department of Conservative Dentistry, School of Dentistry, Dental Science Research Institute, Chonnam National University, Gwangju 61186, Korea', 'Department of Conservative Dentistry, School of Dentistry, Chonnam National University, Gwangju, South Korea', 'Department of Conservative Dentistry, School of Dentistry, Dental Science Research Institute, Chonnam National University, Gwangju 500-757, Korea']"
Bo Ram Kim,김보람,김보람,1,"['Department of Pediatrics, Chonnam National University Hwasun Hospital, Hwasun, Republic of Korea', 'Department of Pediatrics, Chonnam National University Medical School, Gwangju, Korea']"
Bo-Gun Kho,고보건,고보건,1,"['Department of Internal Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Hospital, Gwangju, South Korea']"
Bo-eun Kim,김보은,김보은,1,"['Department of Anesthesiology and Pain Medicine, Chonnam National University Medical School, Chonnam National University Hospital, Gwangju 61469, South Korea']"
A Mi Kim,김아미,김진아,0.6666666666666666,"['Department of Obstetrics and Gynecology, Chonnam National University Medical School, Gwangju 61469, South Korea']"
Ae-Hyun Park,박애현,박현진,0.6666666666666666,"['Postdoctoral Researcher, Department of Orthodontics, School of Dentistry, Chonnam National University, Gwangju, Korea']"
Aehyun Park,박애현,박현진,0.6666666666666666,"['PhD Student, Department of Orthodontics, School of Dentistry, Chonnam National University, Gwangju, Republic of Korea']"
Ari Chong,정아리,정민아,0.6666666666666666,"['Department of Nuclear Medicine, Chosun University Medical School, Gwangju, Republic of Korea', 'Department of Nuclear Medicine, Chonnam National University Medical School, Jeonnam 519-763, Republic of Korea']"
Ayoung Pyo,표아영,표아름,0.6666666666666666,"['Innovation Center for Molecular Probe Development, Department of Nuclear Medicine, Chonnam National University Medical School and Hwasun Hospital, Hwasun, Korea', 'Accelerator & RI Development Team, Korea Atomic Energy Research Institute, Jeongeup, Korea', 'Korea Atomic Energy Research Institute, Jeongeup, Republic of Korea']"
Bo Gyeong Kang,강보경,강경은,0.6666666666666666,"['Biomedical Research Institute, Chonnam National University Hospital, Gwangju 61469, Korea']"
Bo-Seob Kim,김보섭,김보슬,0.6666666666666666,"['Department of Neurosurgery, Chonnam National University Medical School, Chonnam National University Hwasun Hospital, Chonnam, Republic of Korea', 'Department of Neurosurgery, Chonnam National University Medical School & Research Institute of Medical Sciences, Gwangju, Korea']"
Bong Jin Shin,신봉진,신유진,0.6666666666666666,"['Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Hwasun, South Korea']"
Bong Ju Moon,문봉주,문봉주,1.0,"['Department of Neurosurgery, Chonnam National University Medical School & Research Institute of Medical Sciences, Gwangju, Korea', 'Department of Neurosurgery, Chonnam National University Medical School & Research Institute of Medical Sciences, Gwangju, Korea', 'Department of Neurosurgery, Chonnam National University Hospital and Medical School, Gwangju, Republic of Korea', 'Department of Neurosurgery, Chonnam National University Medical School & Research Institute of Medical Sciences, Gwangju, Korea']"
Bora Han,한보라,한보라,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Bora Lee,이보라,이보라,1.0,"['Department of Biochemistry, Chonnam National University Medical School, Hwasun, Republic of Korea']"
Boyoung Kim,김보영,김보영,1.0,"['College of Nursing, Chonnam National University, South Korea']"
